date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:42:24	757906/757906	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202019%2019:12:22%20GMT	https://www.fundingfordeeptech2019.informedfunding.com/speakers	C:/Users/joysi/OneDrive/Desktop/HimalayAK/www.fundingfordeeptech2019.informedfunding.com/speakers.html	(from )
00:42:25	520/520	---M--	200	added ('OK')	text/plain	date:Thu,%2019%20Dec%202019%2019:12:23%20GMT	https://www.fundingfordeeptech2019.informedfunding.com/robots.txt		(from )
00:42:26	995/995	---M--	200	added ('OK')	text/xml	etag:f3c9b2d6a0fac33ec9022ef201a9d07e	https://www.fundingfordeeptech2019.informedfunding.com/sitemap.xml	C:/Users/joysi/OneDrive/Desktop/HimalayAK/www.fundingfordeeptech2019.informedfunding.com/sitemap.xml	(from https://www.fundingfordeeptech2019.informedfunding.com/speakers)
00:42:26	2864/2864	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Dec%202019%2019:12:25%20GMT	https://www.fundingfordeeptech2019.informedfunding.com/feed.xml	C:/Users/joysi/OneDrive/Desktop/HimalayAK/www.fundingfordeeptech2019.informedfunding.com/feed.xml	(from https://www.fundingfordeeptech2019.informedfunding.com/speakers)
00:42:28	72170/72170	---M-Z	200	added ('OK')	application/javascript	etag:%22c9af8a10b26de38db0c63a58fa9596f7%22	https://browser.sentry-cdn.com/4.6.2/bundle.min.js	C:/Users/joysi/OneDrive/Desktop/HimalayAK/browser.sentry-cdn.com/4.6.2/bundle.min.js	(from https://www.fundingfordeeptech2019.informedfunding.com/speakers)
00:42:29	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/joysi/OneDrive/Desktop/HimalayAK/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.fundingfordeeptech2019.informedfunding.com/speakers)
00:42:30	14805/14805	---M-Z	200	added ('OK')	application/javascript	etag:W/%22456c02ee2a496580a24e5aee614ba9b3%22	https://static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	C:/Users/joysi/OneDrive/Desktop/HimalayAK/static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	(from https://www.fundingfordeeptech2019.informedfunding.com/speakers)
00:42:30	95457/95457	---M-Z	200	added ('OK')	application/javascript	etag:W/%220c272bcf934a2f65eed1f92edeaa0c0c%22	https://static.parastorage.com/services/wix-bolt/1.4463.0/bolt-main/app/bolt-custom-elements.min.js	C:/Users/joysi/OneDrive/Desktop/HimalayAK/static.parastorage.com/services/wix-bolt/1.4463.0/bolt-main/app/bolt-custom-elements.min.js	(from https://www.fundingfordeeptech2019.informedfunding.com/speakers)
00:42:32	17493/17493	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218823f6a6d208ee1e361bb266ab794d5%22	https://static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	C:/Users/joysi/OneDrive/Desktop/HimalayAK/static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	(from https://www.fundingfordeeptech2019.informedfunding.com/speakers)
00:42:33	1525/1525	---M--	200	added ('OK')	image/png	etag:%223c6917fb33e1253998115aa201c321c3%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	C:/Users/joysi/OneDrive/Desktop/HimalayAK/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	(from https://www.fundingfordeeptech2019.informedfunding.com/speakers)
00:42:34	1522/1522	---M--	200	added ('OK')	image/png	etag:%22b99ad060add6edf8dcabf85de74182b0%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_in.png	C:/Users/joysi/OneDrive/Desktop/HimalayAK/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_in.png	(from https://www.fundingfordeeptech2019.informedfunding.com/speakers)
00:42:35	529020/529020	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202019%2019:12:33%20GMT	https://www.fundingfordeeptech2019.informedfunding.com/	C:/Users/joysi/OneDrive/Desktop/HimalayAK/www.fundingfordeeptech2019.informedfunding.com/index.html	(from https://www.fundingfordeeptech2019.informedfunding.com/speakers)
00:42:35	13719/13719	---M--	200	added ('OK')	image/png	etag:%22876a7afaa94090a8aca6bda6719e4fe7%22	https://static.wixstatic.com/media/023dfc_a22fb17ae2864732823fd723ad86d30e~mv2.png/v1/fill/w_149,h_51,al_c,usm_0.66_1.00_0.01,blur_3/Logos-01.png	C:/Users/joysi/OneDrive/Desktop/HimalayAK/static.wixstatic.com/media/023dfc_a22fb17ae2864732823fd723ad86d30e_mv2.png/v1/fill/w_149,h_51,al_c,usm_0.66_1.00_0.01,blur_3/Logos-01.png	(from https://www.fundingfordeeptech2019.informedfunding.com/speakers)
00:42:35	31714/31714	---M--	200	added ('OK')	image/jpeg	etag:%2229ab5fe8e7b53854ebd057792525946f%22	https://static.wixstatic.com/media/023dfc_d90c12b5380b4be8b85e04fd08e2cb2c~mv2_d_3061_4592_s_4_2.jpg/v1/fill/w_320,h_480,al_c,q_80,usm_0.66_1.00_0.01,blur_2/023dfc_d90c12b5380b4be8b85e04fd08e2cb2c~mv2_d_3061_4592_s_4_2.jpg	C:/Users/joysi/OneDrive/Desktop/HimalayAK/static.wixstatic.com/media/023dfc_d90c12b5380b4be8b85e04fd08e2cb2c_mv2_d_3/v1/fill/w_320,h_480,al_c,q_80,usm_0.66_1.00_0.01,blur_2/023dfc_d90c12b5380b4be8b85e04fd08e2cb2c_mv2_d_3061_4592_s_4_2.a	(from https://www.fundingfordeeptech2019.informedfunding.com/speakers)
00:42:36	5886/5886	---M--	200	added ('OK')	image/png	etag:%223f82206eb388d07b5083481d1c7be70b%22	https://static.wixstatic.com/media/023dfc_c3567dcc0e9b40f9a9bce93b087db707~mv2_d_1269_1903_s_2.png/v1/fill/w_37,h_56,al_c,usm_0.66_1.00_0.01,blur_3/Plexal-logo-vertical-dark.png	C:/Users/joysi/OneDrive/Desktop/HimalayAK/static.wixstatic.com/media/023dfc_c3567dcc0e9b40f9a9bce93b087db707_mv2_d_1269_1903_s_2.png/v1/fill/w_37,h_56,al_c,usm_0.66_1.00_0.01,blur_3/Plexal-logo-vertical-dark.png	(from https://www.fundingfordeeptech2019.informedfunding.com/speakers)
00:42:37	18946/18946	---M--	200	added ('OK')	image/png	etag:%2291281907d32f83d10d08ce1b63371b75%22	https://static.wixstatic.com/media/023dfc_fae1e4dfda3e481dbe0736a653426001~mv2.png/v1/fill/w_160,h_160,al_c,usm_0.66_1.00_0.01,blur_3/DaveSkipp.png	C:/Users/joysi/OneDrive/Desktop/HimalayAK/static.wixstatic.com/media/023dfc_fae1e4dfda3e481dbe0736a653426001_mv2.png/v1/fill/w_160,h_160,al_c,usm_0.66_1.00_0.01,blur_3/DaveSkipp.png	(from https://www.fundingfordeeptech2019.informedfunding.com/speakers)
00:42:37	4279/4279	---M--	200	added ('OK')	image/jpeg	etag:%226431ef008cfba8cca9e8e54a8b49e869%22	https://static.wixstatic.com/media/023dfc_c16944d7bed745fca364321cd7a010e9~mv2.jpg/v1/fill/w_115,h_62,al_c,q_80,usm_0.66_1.00_0.01,blur_3/FordMobility.jpg	C:/Users/joysi/OneDrive/Desktop/HimalayAK/static.wixstatic.com/media/023dfc_c16944d7bed745fca364321cd7a010e9_mv2.jpg/v1/fill/w_115,h_62,al_c,q_80,usm_0.66_1.00_0.01,blur_3/FordMobility.jpg	(from https://www.fundingfordeeptech2019.informedfunding.com/speakers)
00:42:38	28788/28788	---M--	200	added ('OK')	image/png	etag:%226af86fe02be642d14174a2ed43b77c74%22	https://static.wixstatic.com/media/023dfc_76c346df07e1400cab1ab1ef22b00891~mv2.png/v1/fill/w_160,h_160,al_c,usm_0.66_1.00_0.01,blur_3/Rikesh.png	C:/Users/joysi/OneDrive/Desktop/HimalayAK/static.wixstatic.com/media/023dfc_76c346df07e1400cab1ab1ef22b00891_mv2.png/v1/fill/w_160,h_160,al_c,usm_0.66_1.00_0.01,blur_3/Rikesh.png	(from https://www.fundingfordeeptech2019.informedfunding.com/speakers)
